Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
	Dixella filicornis	LC (2019)	MX.274353	
	Dixella hyperborea	LC (2019)	MX.274354	
	Dixella laeta	LC (2019)	MX.274355	
	Dixella naevia	LC (2019)	MX.274356	
	Dixella nigra	DD (2019)	MX.274357	
	Dixella obscura	LC (2019)	MX.274358	
	Dixella serotina	DD (2019)	MX.274359	
	Chaoborus albipes		MX.5020189	
	Chaoborus crystallinus	LC (2019)	MX.274330	
	Chaoborus flavicans	LC (2019)	MX.274331	
	Chaoborus obscuripes	LC (2019)	MX.274332	
	Chaoborus posio		MX.5008070	
	Chaoborus pallidus	DD (2019)	MX.274334	
	Chaoborus nyblaei	VU (2019)	MX.274336	
	Cryophila lapponica	DD (2019)	MX.274338	
	Mochlonyx fuliginosus	LC (2019)	MX.274340	
	Mochlonyx triangularis		MX.5008045	
	Mochlonyx velutinus	LC (2019)	MX.274341	
	Berdeniella freyi	LC (2019)	MX.274434	
	Clytocerus ocellaris	LC (2019)	MX.274437	
	Clytocerus rivosus	LC (2019)	MX.274438	
	Clytocerus tetracorniculatus	LC (2019)	MX.274439	
	Parabazarella subneglecta	LC (2019)	MX.274441	
	Pericoma blandula	LC (2019)	MX.274444	
	Pericoma nielseni	LC (2019)	MX.274445	
	Pericoma albomaculata	LC (2019)	MX.274447	
	Pneumia borealis	LC (2019)	MX.274449	
	Pneumia bucegiana	LC (2019)	MX.274450	
	Pneumia mutua	LC (2019)	MX.274451	
	Pneumia nubila		MX.274452	
	Pneumia palustris		MX.274453	
	Pneumia pilularia	NT (2019)	MX.274454	
	Pneumia stammeri	LC (2019)	MX.274455	
	Pneumia trivialis	LC (2019)	MX.274456	
	Pneumia ussurica	LC (2019)	MX.274457	
lähdeperhossääski	Ulomyia cognata	NT (2019)	MX.274459	lähdeperhossääski
	Ulomyia fuliginosa	LC (2019)	MX.274460	
	Philosepedon balkanicus	LC (2019)	MX.274463	
	Philosepedon humeralis	LC (2019)	MX.274464	
	Philosepedon soljani	DD (2019)	MX.274465	
	Psychoda albipennis	LC (2019)	MX.274467	
	Psychoda alternata	LC (2019)	MX.274468	
	Psychoda alticola		MX.5078145	
	Psychoda brevicornis	LC (2019)	MX.274469	
	Psychoda buxtoni	LC (2019)	MX.274470	
	Psychoda cinerea	LC (2019)	MX.274471	
	Psychoda crassipenis	LC (2019)	MX.274472	
	Psychoda cultella	LC (2019)	MX.274473	
	Psychoda erminea	LC (2019)	MX.274474	
	Psychoda gemina	LC (2019)	MX.274475	
	Psychoda grisescens	LC (2019)	MX.274476	
	Psychoda itoco	LC (2019)	MX.274477	
	Psychoda lativentris	LC (2019)	MX.274478	
	Psychoda lobata	LC (2019)	MX.274479	
	Psychoda minuta	LC (2019)	MX.274480	
	Psychoda phalaenoides	LC (2019)	MX.274481	
	Psychoda satchelli	LC (2019)	MX.274482	
	Psychoda setigera	LC (2019)	MX.274483	
	Psychoda trinodulosa	LC (2019)	MX.274484	
	Psychoda uniformata	LC (2019)	MX.274485	
	Threticus tridactilis	NT (2019)	MX.274487	
	Trichopsychoda hirtella	LC (2019)	MX.274489	
	Lobulosa pollex	DD (2019)	MX.274492	
	Tonnoiriella nigricauda	LC (2019)	MX.274494	
	Mormia niesiolowskii	DD (2019)	MX.274497	
	Mormia strobli	DD (2019)	MX.274498	
	Clogmia albipunctata		MX.5012558	
	Lepiseodina rothschildi	DD (2019)	MX.274505	
	Panimerus halophilus	LC (2019)	MX.274508	
	Panimerus notabilis	DD (2019)	MX.274509	
	Panimerus albifacies	DD (2019)	MX.274511	
	Panimerus intellegus	LC (2019)	MX.274512	
	Panimerus przhiboroi	VU (2019)	MX.274513	
	Parajungiella consors	LC (2019)	MX.274501	
	Parajungiella ellisi	LC (2019)	MX.274502	
	Parajungiella pseudolongicornis	LC (2019)	MX.274503	
	Paramormia polyascoidea	LC (2019)	MX.274515	
	Paramormia ustulata	LC (2019)	MX.274516	
	Peripsychoda auriculata	LC (2019)	MX.274518	
	Peripsychoda fusca	LC (2019)	MX.274519	
	Seoda similis	LC (2019)	MX.274522	
	Telmatoscopus advena	NT (2019)	MX.274521	
keltaperhossääski	Sycorax silacea	NT (2019)	MX.274525	keltaperhossääski
virtakummitussääski	Ptychoptera lacustris	NT (2019)	MX.274422	virtakummitussääski
	Ptychoptera paludosa	LC (2019)	MX.274423	
	Ptychoptera albimana	DD (2019)	MX.274425	
	Ptychoptera contaminata	NE (2019)	MX.274426	
	Ptychoptera hugoi	LC (2019)	MX.274427	
	Ptychoptera minuta	LC (2019)	MX.274428	
	Ptychoptera scutellaris	LC (2019)	MX.274429	
	Eosentomon transitorium		MX.231352	
	Eosentomon germanicum		MX.231353	
	Nosekiella danica		MX.231356	
	Tetracanthella wahlgreni		MX.231087	
	Tetracanthella pilosa		MX.231088	
	Pseudanurophorus binoculatus		MX.231090	
	Anurophorus laricis		MX.231092	
	Anurophorus septentrionalis		MX.231093	
	Anurophorus atlanticus		MX.231094	
	Folsomides angularis		MX.231096	
	Folsomides ellisi		MX.5126022	
	Isotomodes productus		MX.231098	
	Folsomia fimetaria		MX.231101	
	Folsomia candida		MX.231103	
	Folsomia dovrensis		MX.231104	
	Folsomia bisetosa		MX.231105	
	Folsomia litsteri		MX.231106	
	Folsomia sensibilis		MX.231108	
	Folsomia quadrioculata		MX.231109	
	Folsomia manolachei		MX.231110	
	Folsomia palaearctica		MX.231111	
	Folsomia spinosa		MX.231113	
	Folsomia sexoculata		MX.231114	
	Folsomia fimetarioides		MX.231116	
	Folsomia stella		MX.5125986	
	Folsomia inoculata		MX.5126073	
	Appendisotoma abiskoensis		MX.231118	
	Appendisotoma nidicola		MX.5126066	
	Ballistura borealis		MX.231120	
	Ballistura schoetti		MX.231121	
	Pachyotoma crassicauda		MX.231123	
	Proisotoma minuta		MX.231125	
	Proisotoma clavipila		MX.231126	
	Proisotoma minima		MX.231127	
	Proisotoma ripicola		MX.231128	
	Bagnallella tenella		MX.231129	
	Agrenia bidenticulata		MX.231137	
	Isotomiella minor		MX.231139	
	Vertagopus pseudocinereus		MX.231141	
	Vertagopus cinereus		MX.231142	
	Vertagopus haagvari		MX.231143	
	Vertagopus westerlundi		MX.231144	
	Pseudisotoma sensibilis		MX.231147	
	Marisotoma tenuicornis		MX.231149	
	Parisotoma notabilis		MX.231151	
	Parisotoma ekmani		MX.231152	
	Parisotoma trichaetosa		MX.231154	
	Parisotoma agrelli		MX.5126621	
	Halisotoma maritima		MX.231156	
	Isotoma viridis		MX.231158	
	Isotoma riparia		MX.231159	
	Isotoma caerulea		MX.231160	
	Isotoma anglicana		MX.231161	
	Desoria olivacea		MX.231163	
	Desoria tshernovi		MX.231164	
	Desoria fennica		MX.231166	
	Desoria tolya		MX.231168	
	Desoria hiemalis		MX.231170	
	Desoria violacea		MX.231173	
	Desoria blufusata		MX.231174	
	Desoria blekeni		MX.231175	
	Desoria nivea		MX.231176	
	Desoria intermedia		MX.231177	
	Desoria potapovi		MX.231178	
	Desoria propinqua		MX.231179	
	Desoria divergens		MX.231180	
	Desoria tigrina		MX.5018344	
	Desoria grisea		MX.5125984	
	Desoria infuscata		MX.5126069	
	Desoria multisetis		MX.5126070	
	Archisotoma besselsi		MX.231184	
	Isotomurus palustris		MX.231186	
	Isotomurus italicus		MX.231188	
	Isotomurus fucicolus		MX.231189	
	Isotomurus graminis		MX.231190	
	Isotomurus stuxbergi		MX.231191	
	Isotomurus balteatus		MX.231192	
	Isotomurus antennalis		MX.231193	
	Isotomurus unifasciatus		MX.5126076	
	Proisotomodes bipunctatus		MX.231134	
	Hemisotoma thermophila		MX.231135	
	Sinella curviseta		MX.231200	
	Sinella caeca		MX.5018362	
	Entomobrya lanuginosa		MX.231202	
	Entomobrya marginata		MX.231204	
	Entomobrya corticalis		MX.231206	
	Entomobrya arborea		MX.231207	
lumihyppiäinen	Entomobrya nivalis		MX.231208	lumihyppiäinen
	Entomobrya nicoleti		MX.231209	
	Entomobrya multifasciata		MX.231210	
	Entomobrya superba		MX.231211	
	Entomobrya spectabilis		MX.231212	
	Entomobrya muscorum		MX.5126619	
	Entomobrya purpurascens		MX.5126620	
	Entomobryoides purpurascens		MX.231214	
	Lepidocyrtus lignorum		MX.231217	
	Lepidocyrtus lanuginosus		MX.231218	
	Lepidocyrtus violaceus		MX.231220	
	Lepidocyrtus cyaneus		MX.231221	
	Lepidocyrtus curvicollis		MX.231222	
	Lepidocyrtus paradoxus		MX.231223	
	Lepidocyrtus pallidus		MX.231224	
	Pseudosinella alba		MX.231226	
	Pseudosinella octopunctata		MX.231227	
	Pseudosinella sexoculata		MX.231228	
	Willowsia buski		MX.231231	
	Willowsia nigromaculata		MX.231233	
	Orchesella cincta		MX.231236	
	Orchesella bifasciata		MX.231237	
	Orchesella flavescens		MX.231238	
	Orchesella spectabilis		MX.231239	
	Heteromurus nitidus		MX.231241	
	Cyphoderus albinus		MX.231244	
	Pogonognathellus flavescens		MX.231247	
	Pogonognathellus longicornis		MX.231248	
	Tomocerus minor		MX.231250	
	Tomocerus vulgaris		MX.231251	
	Tomocerina minuta		MX.231253	
	Megalothorax minimus		MX.231256	
	Neelides minutus		MX.231258	
	Sphaeridia pumilis		MX.231261	
	Sminthurides aquaticus		MX.231263	
	Sminthurides penicillifer		MX.231265	
	Sminthurides malmgreni		MX.231266	
	Sminthurides signatus		MX.231267	
	Sminthurides cruciatus		MX.231268	
	Sminthurides schoetti		MX.231269	
	Sminthurides pseudassimilis		MX.231270	
	Sminthurides parvulus		MX.231271	
	Stenacidia violacea		MX.231273	
	Arrhopalites caecus		MX.231276	
	Pygmarrhopalites cochlearifer		MX.231277	
	Pygmarrhopalites spinosus		MX.231278	
	Pygmarrhopalites benitus		MX.231279	
	Sminthurinus aureus		MX.231286	
	Sminthurinus elegans		MX.231287	
	Sminthurinus transversalis		MX.231288	
	Sminthurinus signatus		MX.231289	
	Sminthurinus bimaculatus		MX.231290	
	Sminthurinus niger		MX.231291	
	Sminthurinus alpinus		MX.231292	
	Sminthurinus trinotatus		MX.231293	
	Sminthurinus igniceps		MX.231294	
	Rusekianna albifrons		MX.231296	
	Gisinianus flammeolus		MX.231298	
	Dicyrtomina minuta		MX.231302	
	Dicyrtomina ornata		MX.5018525	
	Dicyrtomina flavosignata		MX.231305	
	Calvatomina rufescens		MX.231307	
	Dicyrtoma fusca		MX.231309	
	Dicyrtoma aurata		MX.5126071	
	Ptenothrix atra		MX.231312	
	Heterosminthurus novemlineatus		MX.231315	
	Heterosminthurus insignis		MX.231316	
	Heterosminthurus claviger		MX.231317	
	Heterosminthurus bilineatus		MX.231318	
	Deuterosminthurus pallipes		MX.231320	
	Deuterosminthurus bicinctus		MX.231322	
	Bourletiella viridescens		MX.231324	
	Bourletiella hortensis		MX.231327	
	Bourletiella tullbergi		MX.231330	
	Bourletiella pistilla		MX.231331	
	Lipothrix lubbocki		MX.231338	
	Sphyrotheca multifasciatus		MX.231340	
	Allacma fusca		MX.231343	
	Sminthurus viridis		MX.231345	
	Sminthurus nigromaculatus		MX.231346	
	Spatulosminthurus flaviceps		MX.231348	
	Caprainea marginata		MX.5126065	
	Podura aquatica		MX.231385	
	Choreutinula inermis		MX.231388	
	Schoettella ununguiculata		MX.231390	
	Hypogastrura litoralis		MX.231392	
	Hypogastrura viatica		MX.231393	
	Hypogastrura assimilis		MX.231394	
	Hypogastrura neglecta		MX.231395	
	Hypogastrura manubrialis		MX.231396	
	Hypogastrura vernalis		MX.231397	
	Hypogastrura purpurescens		MX.231399	
	Hypogastrura distincta		MX.231400	
laumahyppiäinen	Hypogastrura socialis		MX.231401	laumahyppiäinen
	Hypogastrura sahlbergi		MX.231402	
	Hypogastrura lapponica		MX.231403	
	Ceratophysella bengtssoni		MX.231406	
	Ceratophysella scotica		MX.231407	
	Ceratophysella denticulata		MX.5018655	
	Ceratophysella armata		MX.231410	
	Willemia anophthalma		MX.231414	
	Willemia intermedia		MX.231415	
	Willemia scandinavica		MX.231416	
	Willemia denisi		MX.231417	
	Xenylla humicola		MX.231420	
	Xenylla mucronata		MX.231421	
	Xenylla boerneri		MX.231422	
	Xenylla brevicauda		MX.231424	
	Xenylla maritima		MX.231425	
	Xenylla nitida		MX.231426	
	Xenylla corticalis		MX.231427	
	Xenylla grisea		MX.231428	
	Xenylla tullbergi		MX.5125989	
	Brachystomella parvula		MX.231432	
	Friesea mirabilis		MX.231436	
	Friesea truncata		MX.231437	
	Friesea claviseta		MX.231438	
	Pseudachorutella asigillata		MX.231441	
	Pseudachorutes dubius		MX.231443	
	Pseudachorutes subcrassus		MX.231444	
	Pseudachorutes parvulus		MX.231445	
	Pseudachorutes corticicolus		MX.231446	
	Pseudachorutes boerneri		MX.5126079	
	Micranurida forsslundi		MX.231450	
	Micranurida pygmaea		MX.231449	
	Anurida ellipsoides		MX.231453	
	Anurida granaria		MX.231455	
	Anurida thalassophila		MX.231456	
	Anurida tullbergi		MX.231458	
	Anurida granulata		MX.5018708	
	Paranura sexpunctata		MX.231462	
	Neanura muscorum		MX.231464	
	Neanura coronifera		MX.231465	
	Endonura reticulata		MX.231467	
	Xenyllodes armatus		MX.231470	
	Superodontella lamellifera		MX.231472	
	Superodontella gisini		MX.5126023	
	Tullbergia krausbaueri		MX.231073	
	Paratullbergia callipygos		MX.231064	
	Metaphorura affinis		MX.231066	
	Stenaphorura quadrispina		MX.231069	
	Stenaphorura lubbocki		MX.231070	
	Mesaphorura macrochaeta		MX.231072	
	Mesaphorura yosiii		MX.231074	
	Mesaphorura italica		MX.231075	
	Mesaphorura sylvatica		MX.231076	
	Mesaphorura critica		MX.231077	
	Mesaphorura hylophila		MX.231078	
	Mesaphorura tenuisensillata		MX.231079	
	Karlstejnia norvegica		MX.231081	
	Wankeliella peterseni		MX.231083	
	Chaetophorura arctica		MX.231062	
	Oligaphorura absoloni		MX.231481	
	Hymenaphorura polonica		MX.231485	
	Supraphorura furcifera		MX.231488	
	Protaphorura armata		MX.231490	
	Protaphorura tricampata		MX.231491	
	Protaphorura subuliginata		MX.231492	
	Protaphorura pseudovanderdrifti		MX.231493	
	Protaphorura fimata		MX.231495	
	Deuteraphorura nervosus		MX.231058	
	Campodea plusiochaeta		MX.231360	
linssivesikirppu	Limnadia lenticularis		MX.213850	linssivesikirppu
hyytelövesikirppu	Holopedium gibberum		MX.213853	hyytelövesikirppu
	Limnosida frontosa		MX.213857	
	Latona setifera		MX.213859	
	Diaphanosoma brachyurum		MX.213861	
	Sida crystallina		MX.213855	
	Scapholeberis microcephala		MX.213864	
	Scapholeberis mucronata		MX.213865	
	Simocephalus exspinosus		MX.213867	
	Simocephalus vetulus		MX.213868	
	Simocephalus serrulatus		MX.213869	
isovesikirppu	Daphnia magna		MX.213871	isovesikirppu
	Daphnia pulex		MX.213874	
	Daphnia lacustris		MX.213875	
nastavesikirppu	Daphnia longispina		MX.213877	nastavesikirppu
	Daphnia umbra		MX.213880	
	Daphnia galeata		MX.213881	
	Daphnia cucullata		MX.213882	
	Daphnia longiremis		MX.213883	
	Daphnia cristata		MX.213884	
	Ceriodaphnia reticulata		MX.213886	
	Ceriodaphnia megops		MX.213887	
	Ceriodaphnia laticaudata		MX.213888	
	Ceriodaphnia rotunda		MX.213889	
	Ceriodaphnia pulchella		MX.213890	
	Ceriodaphnia dubia		MX.213891	
	Ceriodaphnia quadrangula		MX.213893	
	Bosmina longirostris		MX.213897	
	Bosmina coregoni		MX.213902	
	Camptocercus rectirostris		MX.213914	
	Camptocercus fennicus		MX.213915	
	Camptocercus lilljeborgi		MX.213916	
	Acroperus harpae		MX.213918	
	Acroperus elongatus		MX.213920	
	Acroperus angustatus		MX.234595	
	Oxyurella tenuicaudis		MX.213923	
	Alona intermedia		MX.213926	
	Alona karelica		MX.213927	
	Alona affinis		MX.213929	
	Alona quadrangularis		MX.213930	
	Alona weltneri		MX.213931	
	Alona guttata		MX.213932	
	Alona costata		MX.213933	
	Alona rustica		MX.213934	
	Alona werestschagini		MX.230580	
	Rhynchotalona falcata		MX.213936	
	Rhynchotalona latens		MX.5015482	
	Leydigia leydigi		MX.213938	
	Graptoleberis testudinaria		MX.213940	
	Monospilus dispar		MX.213942	
	Disparalona rostrata		MX.230738	
	Alonella nana		MX.213947	
	Alonella excisa		MX.213948	
	Alonella exigua		MX.213949	
	Pleuroxus aduncus		MX.213954	
	Pleuroxus trigonellus		MX.213955	
	Pleuroxus uncinatus		MX.213956	
	Peracantha truncata		MX.230739	
	Chydorus gibbus		MX.213959	
	Chydorus sphaericus		MX.213961	
	Chydorus latus		MX.213962	
	Chydorus ovalis		MX.213963	
	Dunhevedia crassa		MX.213965	
	Pseudochydorus globosus		MX.213967	
	Anchistropus emarginatus		MX.213969	
	Kurzia latissima		MX.213921	
	Coronatella rectangula		MX.230577	
	Paralona pigra		MX.230737	
	Picripleuroxus laevis		MX.230741	
	Picripleuroxus striatus		MX.230742	
	Ilyocryptus acutifrons		MX.213972	
	Ilyocryptus sordidus		MX.213973	
	Ilyocryptus agilis		MX.213974	
	Ophryoxus gracilis		MX.213977	
	Acantholeberis curvirosrtis		MX.213979	
	Macrothrix laticornis		MX.213981	
	Macrothrix rosea		MX.213982	
	Drepanothrix dentata		MX.213984	
	Streblocerus serricaudatus		MX.213986	
	Lathonura rectirostris		MX.213988	
	Moina brachiata		MX.213991	
	Eurycercus lamellatus		MX.213911	
	Eurycercus pompholygodes		MX.213912	
koukkuvesikirppu	Cercopagis pengoi		MX.52880	koukkuvesikirppu
okavesikirppu	Bythotrephes longimanus		MX.214004	okavesikirppu
	Polyphemus pediculus		MX.213994	
kolmiovesikirppu	Evadne nordmanni		MX.213997	kolmiovesikirppu
kyttyrävesikirppu	Evadne anonyx		MX.213998	kyttyrävesikirppu
	Podon leuckartii		MX.214000	
	Podon intermedius		MX.214001	
lasivesikirppu	Leptodora kindtii		MX.214008	lasivesikirppu
paljakkakilpiäinen	Lepidurus arcticus	EN (2019)	MX.213844	paljakkakilpiäinen
pallovesikirppu	Lynceus brachyurus		MX.213847	pallovesikirppu
ruijanlehtijalkainen	Polyartemia forcipata	LC (2019)	MX.213838	ruijanlehtijalkainen
pohjanlehtijalkainen	Branchinecta paludosa	VU (2019)	MX.213841	pohjanlehtijalkainen
	Darwinula stevensoni		MX.214012	
	Limnocythere stationis		MX.214015	
	Limnocythere inopinata		MX.214016	
	Leucocythere mirabilis		MX.214018	
	Limnocytherina sanctipatricii		MX.214020	
	Metacypris cordata		MX.214022	
	Cyprideis torosa		MX.214027	
	Paracyprideis fennica		MX.214030	
	Cytherissa lacustris		MX.214032	
	Heterocyprideis sorbyana		MX.230635	
	Leptocythere baltica		MX.214041	
	Leptocythere castanea		MX.214035	
	Leptocythere lacertosa		MX.214040	
	Leptocythere pellucida		MX.214038	
	Leptocythere porcellanea		MX.214036	
	Xestoleberis aurantia		MX.214044	
	Hirschmannia viridis		MX.214047	
	Cytheromorpha fuscata		MX.214049	
	Cytheromorpha claviformis		MX.214051	
	Elofsonia pusilla		MX.214053	
	Elofsonia baltica		MX.214054	
	Loxoconcha impressa		MX.214056	
	Loxoconcha elliptica		MX.214057	
	Cytherois arenicola		MX.214061	
	Cytherois fischeri		MX.214062	
	Boreostoma variabile		MX.214064	
	Cytherura gibba		MX.214067	
	Semicytherura nigrescens		MX.214069	
	Candona candida		MX.214120	
	Candona angulata		MX.214121	
	Candona neglecta		MX.214122	
	Cryptocandona longipes		MX.214115	
	Cryptocandona pygmaea		MX.214116	
	Cryptocandona reducta		MX.214117	
	Cryptocandona vavrai		MX.214118	
	Cyclocypris globosa		MX.214104	
	Cyclocypris laevis		MX.214105	
	Cyclocypris ovum		MX.214106	
	Cyclocypris serena		MX.214108	
	Cypria exsculpta		MX.214110	
	Cypria ophthalmica		MX.214112	
	Cypria lacustris		MX.214113	
	Fabaeformiscandona acuminata		MX.214134	
	Fabaeformiscandona brevicornis		MX.214125	
	Fabaeformiscandona fabaeformis		MX.214130	
	Fabaeformiscandona fragilis		MX.214129	
	Fabaeformiscandona hyalina		MX.214135	
	Fabaeformiscandona lapponica		MX.4971756	
	Fabaeformiscandona levanderi		MX.214132	
	Fabaeformiscandona protzi		MX.214133	
	Paracandona euplectella		MX.4971741	
	Pseudocandona stagnalis		MX.214123	
	Pseudocandona rostrata		MX.214124	
	Pseudocandona albicans		MX.214126	
	Pseudocandona compressa		MX.214127	
	Plesiocypridopsis newtoni		MX.214072	
	Cypridopsis vidua		MX.214076	
	Potamocypris villosa		MX.214080	
	Potamocypris fulva		MX.214081	
	Potamocypris pallida		MX.214082	
	Potamocypris humilis		MX.214083	
	Potamocypris producta		MX.214084	
	Potamocypris arcuata		MX.4971680	
	Cypris pubera		MX.214087	
	Dolerocypris fasciata		MX.214089	
	Heterocypris incongruens		MX.214094	
	Heterocypris salina		MX.214095	
	Bradleystrandesia reticulata		MX.214097	
	Eucypris virens		MX.214100	
	Eucypris pigra		MX.4971737	
	Sarscypridopsis aculeata		MX.214073	
	Tonnacypris glacialis		MX.214099	
	Cyprois marginata		MX.214091	
	Notodromas monacha		MX.214102	
	Acartia bifilosa		MX.214177	
	Acartia longiremis		MX.214179	
tynnyrihankajalkainen	Acartia tonsa		MX.214178	tynnyrihankajalkainen
	Limnocalanus macrurus		MX.214157	
	Centropages hamatus		MX.214160	
	Pseudocalanus elongatus		MX.214138	
	Eudiaptomus gracilis		MX.214163	
	Eudiaptomus graciloides		MX.214164	
	Eudiaptomus vulgaris		MX.214166	
	Arctodiaptomus wierzejskii		MX.214168	
	Arctodiaptomus laticeps		MX.214169	
	Acanthodiaptomus denticornis		MX.214171	
	Acanthodiaptomus tibetanus		MX.214172	
	Mixodiaptomus laciniatus		MX.214174	
	Heterocope borealis		MX.214141	
	Heterocope saliens		MX.214142	
	Heterocope appendiculata		MX.214143	
	Eurytemora velox		MX.214145	
	Eurytemora affinis		MX.214146	
	Eurytemora lacustris		MX.214150	
	Temora longicornis		MX.214154	
	Acanthocyclops capillatus		MX.214296	
	Acanthocyclops vernalis		MX.214297	
	Acanthocyclops robustus		MX.214298	
	Cyclops abyssorum		MX.214290	
	Cyclops furcifer		MX.214287	
	Cyclops insignis		MX.214284	
	Cyclops kolensis		MX.214291	
	Cyclops lacustris		MX.214286	
	Cyclops scutifer		MX.214283	
	Cyclops strenuus		MX.214288	
	Cyclops vicinus		MX.214285	
	Diacyclops bicuspidatus		MX.214300	
	Diacyclops bisetosus		MX.214301	
	Diacyclops crassicaudis		MX.214302	
	Diacyclops nanus		MX.214303	
	Diacyclops diaphanus		MX.214304	
	Diacyclops languidus		MX.214305	
	Diacyclops abyssicola		MX.214306	
	Diacyclops languidoides		MX.214307	
	Ectocyclops phaleratus		MX.214281	
	Eucyclops macrurus		MX.214270	
	Eucyclops speratus		MX.214271	
	Eucyclops serrulatus		MX.214272	
	Eucyclops denticulatus		MX.214273	
	Eucyclops macruroides		MX.214274	
	Halicyclops magniceps		MX.214264	
	Macrocyclops albidus		MX.214266	
	Macrocyclops fuscus		MX.214267	
	Macrocyclops distinctus		MX.214268	
	Megacyclops viridis		MX.214293	
	Megacyclops gigas		MX.214294	
	Mesocyclops leuckarti		MX.214309	
	Metacyclops gracilis		MX.214316	
	Microcyclops bicolor		MX.214318	
	Microcyclops varicans		MX.214319	
	Microcyclops rubellus		MX.214320	
	Paracyclops affinis		MX.230715	
	Paracyclops chiltoni		MX.214277	
	Paracyclops fimbriatus		MX.214278	
	Paracyclops poppei		MX.214279	
	Thermocyclops dybowskii		MX.214311	
	Thermocyclops crassus		MX.214312	
	Thermocyclops oithonoides		MX.214314	
	Ergasilus sieboldi		MX.214327	
	Ergasilus gibbus		MX.214328	
	Ergasilus briani		MX.214329	
	Neoergasilus japonicus		MX.214331	
	Paraergasilus longidigitus		MX.214333	
	"Paraergasilus ""nordmanni"""		MX.214334	
	Paraergasilus rylovi		MX.4971813	
	Thersitina gasterostei		MX.214336	
	Lernaea cyprinacea		MX.214323	
	Nitocra fallaciosa		MX.214239	
	Nitocra hibernica		MX.5109177	
	Nitocra lacustris		MX.214235	
	Nitocra reducta		MX.214238	
	Nitocra spinipes		MX.214236	
	Nitocra typica		MX.214237	
	Proameira hiddensoensis		MX.214241	
	Attheyella dentata		MX.214220	
	Attheyella crassa		MX.214221	
	Bryocamptus arcticus		MX.5109194	
	Bryocamptus cuspidatus		MX.214228	
	Bryocamptus echinatus		MX.214227	
	Bryocamptus minutus		MX.214226	
	Bryocamptus pygmaeus		MX.214225	
	Canthocamptus staphylinus		MX.214205	
	Canthocamptus microstaphylinus		MX.214206	
	Elaphoidella gracilis		MX.214230	
	Epactophanes richardi		MX.214214	
	Itunella muelleri		MX.214223	
	Maraenobiotus insignipes		MX.214212	
	Maraenobiotus brucei		MX.5109193	
	Mesochra aestuarii		MX.214208	
	Mesochra lilljeborgii		MX.214209	
	Mesochra rapiens		MX.214210	
	Moraria brevipes		MX.214217	
	Moraria duthiei		MX.214216	
	Moraria mrazeki		MX.214218	
	Pesceus schmeili		MX.290258	
	Leptocaris brevicornis		MX.214244	
	Leptocaris trisetosus		MX.214245	
	Halectinosoma curticorne		MX.214182	
	Halectinosoma abrau		MX.214183	
	Onychocamptus mohammed		MX.214186	
	Paronychocamptus nanus		MX.214188	
	Paraleptastacus spinicauda		MX.214202	
	Schizopera clandestina		MX.214256	
	Schizopera ornata		MX.214257	
	Delavalia palustris		MX.214259	
	Amphiascoides debilis		MX.214261	
	Huntemannia jadensis		MX.214191	
	Nannopus palustris		MX.214193	
	Parastenocaris glacialis		MX.214196	
	Parastenocaris vicesima		MX.214198	
	Parastenocaris brevipes		MX.214199	
	Proserpinicaris phyllura		MX.290256	
	Tachidius discipes		MX.214250	
	Microarthridion littorale		MX.214252	
	Caligus lacustris		MX.214341	
	Caligus rapax		MX.214342	
	Lepeophtheirus salmonis		MX.214344	
	Achtheres percarum		MX.214350	
	Achtheres sandrae		MX.214351	
	Salmincola coregonorum		MX.214355	
	Salmincola edwardsii		MX.214357	
	Salmincola extensus		MX.214361	
	Salmincola extumescens		MX.214363	
	Salmincola lotae		MX.214359	
	Salmincola nordmanni		MX.214360	
	Salmincola salmoneus		MX.214353	
	Salmincola thymalli		MX.214354	
	Tracheliastes maculatus		MX.214365	
	Tracheliastes polycolpus		MX.214367	
merirokko	Amphibalanus improvisus	NA (2019)	MX.53030	merirokko
sirokatkarapu	Palaemon elegans	NA (2019)	MX.200258	sirokatkarapu
leväkatkarapu	Palaemon adspersus	LC (2019)	MX.212195	leväkatkarapu
hietakatkarapu	Crangon crangon	LC (2019)	MX.214499	hietakatkarapu
täplärapu	Pacifastacus leniusculus	NA (2019)	MX.53031	täplärapu
jokirapu	Astacus astacus	EN (2019)	MX.206836	jokirapu
kapeasaksirapu	Pontastacus leptodactylus	NA (2019)	MX.53033	kapeasaksirapu
liejutaskurapu	Rhithropanopeus harrisii	NA (2019)	MX.53034	liejutaskurapu
villasaksirapu	Eriocheir sinensis	NA (2019)	MX.53038	villasaksirapu
rantataskurapu	Carcinus maenas	NA (2019)	MX.214503	rantataskurapu
hietakatka	Bathyporeia pilosa	LC (2019)	MX.214462	hietakatka
tyrskykatka	Calliopius laeviusculus	LC (2019)	MX.214465	tyrskykatka
putkikatka	Leptocheirus pilosus	LC (2019)	MX.214487	putkikatka
liejukatka	Corophium volutator	LC (2019)	MX.214489	liejukatka
polyyppikatka	Apocorophium lacustre	LC (2019)	MX.214490	polyyppikatka
sorjakatka	Crangonyx pseudogracilis		MX.214468	sorjakatka
jättikatka	Gammaracanthus lacustris	LC (2019)	MX.214478	jättikatka
petokatka	Dikerogammarus villosus		MX.53039	petokatka
