Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
vyöturkiskuoriainen	Attagenus woodroffei	NA (2019)	MX.192580	vyöturkiskuoriainen
	Attagenus trifasciatus	NA (2019)	MX.193664	
	Trogoderma variabile	NA (2019)	MX.193668	
	Trogoderma angustum	NA (2019)	MX.193669	
	Trogoderma versicolor	NA (2019)	MX.193670	
	Trogoderma glabrum	LC (2019)	MX.193671	
riesakuoriainen	Reesa vespulae	NA (2019)	MX.193675	riesakuoriainen
	Globicornis emarginata	LC (2019)	MX.193677	
karekuoriainen	Megatoma undata	LC (2019)	MX.193684	karekuoriainen
siljokuoriainen	Megatoma pubescens	NT (2019)	MX.193685	siljokuoriainen
Cobweb Beetle	Ctesias serra	LC (2019)	MX.193688	
mattokuoriainen	Anthrenus scrophulariae	LC (2019)	MX.193692	mattokuoriainen
	Anthrenus flavipes	NA (2019)	MX.193693	
ryijykuoriainen	Anthrenus verbasci	NA (2019)	MX.193694	ryijykuoriainen
museokuoriainen	Anthrenus museorum	LC (2019)	MX.193695	museokuoriainen
soppikuoriainen	Anthrenus olgae	NA (2019)	MX.193697	soppikuoriainen
kapusiinikuoriainen	Bostrichus capucinus	NA (2019)	MX.193703	kapusiinikuoriainen
mäntyhuppukuoriainen	Stephanopachys substriatus	NT (2019)	MX.193706	mäntyhuppukuoriainen
havuhuppukuoriainen	Stephanopachys linearis	NT (2019)	MX.193707	havuhuppukuoriainen
viljahuppukuoriainen	Rhyzopertha dominica	NA (2019)	MX.193709	viljahuppukuoriainen
	Dinoderus brevis	NA (2019)	MX.193711	
	Dinoderus minutus	NA (2019)	MX.193712	
ruskokairo	Lyctus brunneus	NA (2019)	MX.193715	ruskokairo
parkettikuoriainen	Lyctus africanus	NA (2019)	MX.193716	parkettikuoriainen
tammikairo	Lyctus linearis	RE (2019)	MX.193717	tammikairo
western lyctus beetle	Lyctus cavicollis		MX.5077430	
	Minthea rugicollis	NA (2019)	MX.193719	
	Trogoxylon impressum	NA (2019)	MX.193721	
laikkujumi	Ptinomorphus imperialis	NT (2019)	MX.193727	laikkujumi
	Mezium affine	NA (2019)	MX.193733	
maustiainen	Trigonogenius globosus	NA (2019)	MX.193737	maustiainen
messinkikuoriainen	Niptus hololeucus	NA (2019)	MX.193743	messinkikuoriainen
homelesiäinen	Epauloecus unicolor	NA (2019)	MX.193746	homelesiäinen
	Pseudeurostus hilleri	NA (2019)	MX.193748	
kätkölesiäinen	Ptinus tectus	NA (2019)	MX.193750	kätkölesiäinen
pikkulesiäinen	Ptinus dubius	LC (2019)	MX.193751	pikkulesiäinen
pesälesiäinen	Ptinus sexpunctatus	NT (2019)	MX.193752	pesälesiäinen
lehtolesiäinen	Ptinus rufipes	LC (2019)	MX.193753	lehtolesiäinen
	Ptinus latro	NA (2019)	MX.193757	
varaslesiäinen	Ptinus fur	LC (2019)	MX.193761	varaslesiäinen
vorolesiäinen	Ptinus villiger	LC (2019)	MX.193763	vorolesiäinen
	Ptinus podolicus	NT (2019)	MX.193765	
kaarnalesiäinen	Ptinus subpillosus	LC (2019)	MX.193766	kaarnalesiäinen
rosvolesiäinen	Ptinus raptor	LC (2019)	MX.193768	rosvolesiäinen
pikkujumi	Dryophilus pusillus	LC (2019)	MX.193774	pikkujumi
rautio	Xestobium rufovillosum	NT (2019)	MX.193781	rautio
valekytry	Episernus angulicollis	LC (2019)	MX.193783	valekytry
oksakytry	Ernobius longicornis	LC (2019)	MX.193786	oksakytry
versokytry	Ernobius nigrinus	LC (2019)	MX.193787	versokytry
runkokytry	Ernobius explanatus	LC (2019)	MX.193789	runkokytry
hirsikytry	Ernobius mollis	LC (2019)	MX.193791	hirsikytry
kuusikytry	Ernobius angusticollis	VU (2019)	MX.193792	kuusikytry
närekytry	Ernobius abietinus	LC (2019)	MX.193794	närekytry
käpykytry	Ernobius abietis	LC (2019)	MX.193795	käpykytry
mäntykytry	Ernobius pini	DD (2019)	MX.193796	mäntykytry
leipäkuoriainen	Stegobium paniceum	NA (2019)	MX.193803	leipäkuoriainen
tupajumi	Anobium punctatum	LC (2019)	MX.193809	tupajumi
kaarnajumi	Microbregma emarginata	LC (2019)	MX.193817	kaarnajumi
kuolemankello	Hadrobregmus pertinax	LC (2019)	MX.193820	kuolemankello
hirsijumi	Hadrobregmus confusus	LC (2019)	MX.193821	hirsijumi
saunajumi	Priobium carpini	NT (2019)	MX.193823	saunajumi
ruskojumi	Cacotemnus rufipes	LC (2019)	MX.193814	ruskojumi
tuomaanjumi	Cacotemnus thomsoni	LC (2019)	MX.193815	tuomaanjumi
nyhäjumi	Hemicoelus canaliculatus	LC (2019)	MX.193810	nyhäjumi
lounaanjumi	Hemicoelus fulvicornis	EN (2019)	MX.193813	lounaanjumi
haapajumi	Ptilinus fuscus	LC (2019)	MX.193827	haapajumi
	Xyletinus ater	LC (2019)	MX.193833	
	Xyletinus pectinatus	NT (2019)	MX.193834	
vesasahajumi	Xyletinus fibyensis	LC (2019)	MX.193836	vesasahajumi
haavansahajumi	Xyletinus tremulicola	VU (2019)	MX.193838	haavansahajumi
	Xyletinus hanseni	LC (2019)	MX.193840	
	Xyletinus planicollis	LC (2019)	MX.193841	
tupakkakuoriainen	Lasioderma serricorne	NA (2019)	MX.193844	tupakkakuoriainen
pallojumi	Caenocara bovistae	LC (2019)	MX.193086	pallojumi
	Anitys rubens		MX.193090	
liekojumi	Stagetus borealis	LC (2019)	MX.193848	liekojumi
	Dorcatoma dresdensis	LC (2019)	MX.193082	
taulatiera	Dorcatoma robusta	LC (2019)	MX.193083	taulatiera
	Dorcatoma flavicornis	NT (2019)	MX.193851	
tammitiera	Dorcatoma chrysomelina	LC (2019)	MX.193853	tammitiera
takkutiera	Dorcatoma substriata	LC (2019)	MX.193855	takkutiera
pistetiera	Dorcatoma punctulata	LC (2019)	MX.193858	pistetiera
lehtipuupiirtäjä	Elateroides dermestoides	LC (2019)	MX.193096	lehtipuupiirtäjä
havupuupiirtäjä	Elateroides flabellicornis	LC (2019)	MX.193097	havupuupiirtäjä
isopehkiäinen	Peltis grossa	LC (2019)	MX.193109	isopehkiäinen
ruskopehkiäinen	Peltis ferruginea	LC (2019)	MX.193111	ruskopehkiäinen
lännenkarvapehkiäinen	Thymalus limbatus	VU (2019)	MX.193113	lännenkarvapehkiäinen
idänkarvapehkiäinen	Thymalus aubei	LC (2019)	MX.193114	idänkarvapehkiäinen
soikopehkiäinen	Grynocharis oblonga	LC (2019)	MX.193118	soikopehkiäinen
rosopehkiäinen	Calitys scabra	LC (2019)	MX.193123	rosopehkiäinen
kaitapehkiäinen	Nemozoma elongatum	LC (2019)	MX.193126	kaitapehkiäinen
viljapehkiäinen	Tenebroides mauritanicus	NA (2019)	MX.193131	viljapehkiäinen
vihikuoriainen	Tillus elongatus	LC (2019)	MX.193135	vihikuoriainen
tupakirjokuoriainen	Opilo domesticus	NA (2019)	MX.193139	tupakirjokuoriainen
isomuurahaiskuoriainen	Thanasimus formicarius	LC (2019)	MX.193141	isomuurahaiskuoriainen
pikkumuurahaiskuoriainen	Thanasimus femoralis	LC (2019)	MX.193142	pikkumuurahaiskuoriainen
	Tarsostenus univittatus	NA (2019)	MX.193153	
	Korynetes caeruleus	NA (2019)	MX.193156	
kirjoluukuoriainen	Necrobia ruficollis	NA (2019)	MX.193160	kirjoluukuoriainen
siniluukuoriainen	Necrobia violacea	LC (2019)	MX.193161	siniluukuoriainen
aittaluukuoriainen	Necrobia rufipes	NA (2019)	MX.193162	aittaluukuoriainen
	Aplocnemus impressus	LC (2019)	MX.193168	
	Aplocnemus nigricornis	LC (2019)	MX.193170	
	Aplocnemus tarsalis	LC (2019)	MX.193171	
	Trichoceble memnonia		MX.193174	
	Semijulistus callosus	NA (2019)	MX.193176	
mustatakukas	Dasytes niger	LC (2019)	MX.193183	mustatakukas
isotakukas	Dasytes obscurus	LC (2019)	MX.193185	isotakukas
sinitakukas	Dasytes caeruleus	LC (2019)	MX.193186	sinitakukas
hoikkatakukas	Dasytes fusculus	LC (2019)	MX.193379	hoikkatakukas
hentotakukas	Dasytes plumbeus	LC (2019)	MX.193384	hentotakukas
tikkukuoriainen	Dolichosoma lineare	LC (2019)	MX.193390	tikkukuoriainen
	Ebaeus lapplandicus	LC (2019)	MX.193394	
	Nepachys cardiacae	LC (2019)	MX.193400	
tummaviherikäs	Charopus graminicola	LC (2019)	MX.193403	tummaviherikäs
pikkuviherikäs	Cordylepherus viridis	LC (2019)	MX.193410	pikkuviherikäs
punaviherikäs	Malachius aeneus	NT (2019)	MX.193414	punaviherikäs
täpläviherikäs	Malachius bipustulatus	LC (2019)	MX.193415	täpläviherikäs
heloviherikäs	Anthocomus rufus	LC (2019)	MX.193420	heloviherikäs
vyöviherikäs	Anthocomus fasciatus	EN (2019)	MX.193422	vyöviherikäs
rantaviherikäs	Apalochrus femoralis	NT (2019)	MX.193429	rantaviherikäs
sarvihärö	Uleiota planata	CR (2019)	MX.193202	sarvihärö
liekohärö	Dendrophagus crenatus	LC (2019)	MX.193204	liekohärö
	Cryptamorpha desjardinsi	NA (2019)	MX.193208	
luhtahärö	Psammoecus bipunctatus	LC (2019)	MX.193210	luhtahärö
ketohärö	Airaphilus elongatus	LC (2019)	MX.193213	ketohärö
puikkohärö	Airaphilus perangustus	EN (2019)	MX.193214	puikkohärö
ahverihärö	Ahasverus advena	LC (2019)	MX.193218	ahverihärö
riisihärö	Oryzaephilus surinamensis	NA (2019)	MX.193220	riisihärö
kauppahärö	Oryzaephilus mercator	NA (2019)	MX.193221	kauppahärö
isokuorihärö	Silvanus bidentatus	LC (2019)	MX.193223	isokuorihärö
hentokuorihärö	Silvanus unidentatus	EN (2019)	MX.193224	hentokuorihärö
	Silvanus recticollis		MX.193225	
kompostihärö	Silvanoprus fagi	LC (2019)	MX.193229	kompostihärö
punahärö	Cucujus cinnaberinus	CR (2019)	MX.193232	punahärö
verihärö	Cucujus haematodes	RE (2019)	MX.193233	verihärö
puuhärö	Pediacus depressus	NT (2019)	MX.193235	puuhärö
palohärö	Pediacus fuscus	LC (2019)	MX.193237	palohärö
kulohärö	Laemophloeus muticus	LC (2019)	MX.193241	kulohärö
	Cryptolestes duplicatus	NA (2019)	MX.193247	
lesehärö	Cryptolestes ferrugineus	NA (2019)	MX.193248	lesehärö
havupuuhärö	Cryptolestes abietis	LC (2019)	MX.193249	havupuuhärö
savuhärö	Cryptolestes weisei	NT (2019)	MX.193250	savuhärö
kaarnahärö	Cryptolestes corticinus	LC (2019)	MX.193251	kaarnahärö
mustahärö	Cryptolestes spartii	NA (2019)	MX.193252	mustahärö
viljahärö	Cryptolestes pusillus	NA (2019)	MX.193255	viljahärö
turkinhärö	Cryptolestes turcicus	NA (2019)	MX.193258	turkinhärö
nilahärö	Leptophloeus alternans	LC (2019)	MX.193259	nilahärö
viljanokikuoriainen	Phalacrus corruscus	RE (2019)	MX.193264	viljanokikuoriainen
	Phalacrus championi	NA (2019)	MX.193268	
saranokikuoriainen	Phalacrus substriatus	LC (2019)	MX.193270	saranokikuoriainen
luhtanokikuoriainen	Phalacrus caricis	LC (2019)	MX.193271	luhtanokikuoriainen
sauniomykerökuoriainen	Olibrus aeneus	LC (2019)	MX.193276	sauniomykerökuoriainen
marunamykerökuoriainen	Olibrus baudueri	VU (2019)	MX.193277	marunamykerökuoriainen
kärsämömykerökuoriainen	Olibrus millefolii	LC (2019)	MX.193278	kärsämömykerökuoriainen
	Olibrus corticalis		MX.193279	
	Olibrus pygmaeus		MX.193280	
	Olibrus flavicornis	DD (2019)	MX.193281	
keltanomykerökuoriainen	Olibrus norvegicus	LC (2019)	MX.193282	keltanomykerökuoriainen
täplämykerökuoriainen	Olibrus bicolor	NT (2019)	MX.193285	täplämykerökuoriainen
laikkumykerökuoriainen	Olibrus bimaculatus	LC (2019)	MX.193286	laikkumykerökuoriainen
niittymykerökuoriainen	Stilbus testaceus	VU (2019)	MX.193288	niittymykerökuoriainen
ketomykerökuoriainen	Stilbus atomarius	LC (2019)	MX.193289	ketomykerökuoriainen
rantamykerökuoriainen	Stilbus oblongus	LC (2019)	MX.193290	rantamykerökuoriainen
härökäs	Hypocoprus latridioides	LC (2019)	MX.193294	härökäs
	Telmatophilus caricis	LC (2019)	MX.193299	
	Telmatophilus typhae	LC (2019)	MX.193301	
	Telmatophilus schoenherrii	LC (2019)	MX.193302	
luhtaluiho	Paramecosoma melanocephalum	LC (2019)	MX.193305	luhtaluiho
paloluiho	Henoticus serratus	LC (2019)	MX.193307	paloluiho
	Henoticus californicus	NA (2019)	MX.193308	
kääpäluiho	Pteryngium crenatum	LC (2019)	MX.193310	kääpäluiho
	Micrambe bimaculata	LC (2019)	MX.193312	
	Micrambe pilosula	LC (2019)	MX.193313	
	Micrambe woodroffei	NA (2019)	MX.193315	
	Micrambe abietis	LC (2019)	MX.193319	
	Micrambe longitarsis	LC (2019)	MX.193320	
	Cryptophagus acutangulus	LC (2019)	MX.193322	
	Cryptophagus parallelus	LC (2019)	MX.193323	
	Cryptophagus fallax	NT (2019)	MX.193327	
	Cryptophagus quercinus	LC (2019)	MX.193329	
lahosalasyöjä	Cryptophagus badius	LC (2019)	MX.193330	lahosalasyöjä
mehiläissalasyöjä	Cryptophagus populi	NT (2019)	MX.193331	mehiläissalasyöjä
runkosalasyöjä	Cryptophagus lysholmi	LC (2019)	MX.193332	runkosalasyöjä
salosalasyöjä	Cryptophagus quadrihamatus	LC (2019)	MX.193333	salosalasyöjä
	Cryptophagus jakowlewi	DD (2019)	MX.193335	
	Cryptophagus uralensis	LC (2019)	MX.4883622	
	Cryptophagus lapponicus	LC (2019)	MX.193338	
	Cryptophagus subdepressus	LC (2019)	MX.193339	
	Cryptophagus tuberculosus	LC (2019)	MX.193340	
	Cryptophagus subfumatus	EN (2019)	MX.193342	
kimalaissalasyöjä	Cryptophagus pubescens	LC (2019)	MX.193343	kimalaissalasyöjä
	Cryptophagus saginatus	LC (2019)	MX.193345	
ontonsalasyöjä	Cryptophagus fuscicornis	LC (2019)	MX.193346	ontonsalasyöjä
	Cryptophagus labilis	NT (2019)	MX.193347	
	Cryptophagus confusus	LC (2019)	MX.193348	
	Cryptophagus intermedius	NA (2019)	MX.193349	
	Cryptophagus dentatus	DD (2019)	MX.193350	
	Cryptophagus denticulatus	LC (2019)	MX.193351	
	Cryptophagus dorsalis	LC (2019)	MX.193355	
	Cryptophagus hexagonalis	LC (2019)	MX.193356	
	Cryptophagus distinguendus	LC (2019)	MX.193358	
täpläsalasyöjä	Cryptophagus quadrimaculatus	DD (2019)	MX.193359	täpläsalasyöjä
kulosalasyöjä	Cryptophagus corticinus	LC (2019)	MX.193362	kulosalasyöjä
	Cryptophagus scanicus	LC (2019)	MX.193363	
	Cryptophagus reflexus	DD (2019)	MX.193364	
lehtosalasyöjä	Cryptophagus obsoletus	LC (2019)	MX.193370	lehtosalasyöjä
	Cryptophagus scutellatus	LC (2019)	MX.193371	
	Cryptophagus lycoperdi		MX.193372	
karvasalasyöjä	Cryptophagus punctipennis	LC (2019)	MX.193373	karvasalasyöjä
	Cryptophagus cellaris	NA (2019)	MX.193375	
	Cryptophagus laticollis	VU (2019)	MX.193376	
	Cryptophagus setulosus	LC (2019)	MX.194058	
	Cryptophagus schmidtii	NA (2019)	MX.194059	
	Cryptophagus nitidulus	NA (2019)	MX.4884814	
muurahaisluiho	Spavius glaber	LC (2019)	MX.194062	muurahaisluiho
	Antherophagus pallens	LC (2019)	MX.194064	
	Antherophagus similis	LC (2019)	MX.194068	
	Caenoscelis subdeplanata	LC (2019)	MX.194072	
	Caenoscelis ferruginea	LC (2019)	MX.194073	
	Caenoscelis sibirica	LC (2019)	MX.194074	
	Atomaria munda	RE (2019)	MX.194080	
navettahilvekäs	Atomaria nigripennis	EN (2019)	MX.194081	navettahilvekäs
ontonhilvekäs	Atomaria morio	LC (2019)	MX.194082	ontonhilvekäs
	Atomaria ornata	LC (2019)	MX.194083	
	Atomaria peltata	LC (2019)	MX.194085	
	Atomaria peltataeformis	LC (2019)	MX.194086	
	Atomaria fuscipes	LC (2019)	MX.194087	
	Atomaria pusilla	NT (2019)	MX.194088	
	Atomaria sodermani	LC (2019)	MX.194089	
	Atomaria lundbergi	LC (2019)	MX.194090	
	Atomaria clavigera	LC (2019)	MX.194091	
	Atomaria fuscata	LC (2019)	MX.194092	
	Atomaria zetterstedti	LC (2019)	MX.194094	
	Atomaria lewisi	LC (2019)	MX.194095	
	Atomaria pseudatra	NT (2019)	MX.194096	
	Atomaria atra	LC (2019)	MX.194098	
	Atomaria gutta	NT (2019)	MX.194099	
	Atomaria basalis	LC (2019)	MX.194102	
	Atomaria mesomela	LC (2019)	MX.194103	
	Atomaria rubella	LC (2019)	MX.194105	
	Atomaria atricapilla	VU (2019)	MX.194107	
	Atomaria mongolica	LC (2019)	MX.194108	
